24000 22
205 0.8 173
489 0.4 172
1230 1.0 344
859 0.6 173
1015 0.9 333
1524 1.0 250
1643 0.6 338
1541 0.7 324
1010 0.5 359
1465 1.2 199
1571 1.0 350
1092 0.9 277
470 1.0 301
959 0.9 137
876 0.6 140
669 0.9 304
1036 0.4 204
412 0.9 130
945 1.0 315
611 0.6 389
825 0.7 354
1487 0.9 102
984 0.9 274
1576 0.4 150
797 0.4 256
1555 1.0 343
786 1.1 375
1502 0.5 173
830 0.6 369
399 1.1 195
796 1.0 158
310 0.8 267
980 0.8 151
439 0.7 176
1338 1.0 136
694 1.1 104
595 0.7 316
1310 0.6 352
1563 0.6 161
525 0.6 126
1126 0.6 377
1560 0.8 343
1688 0.6 323
105 0.7 215
1550 0.6 339
261 0.9 287
1477 1.1 323
478 0.9 257
1410 0.5 319
651 0.6 167
132 1.1 319
1040 0.5 160
873 1.1 339
1050 0.8 313
359 0.9 147
350 0.7 113
1451 0.9 300
318 0.8 162
1187 0.7 191
832 1.1 135
